,connections,pipelining,duration,workers,HelloWorld,EventsCreate,EventsGet
9,1,7,10,1,31164,376,357
12,1,10,10,1,34211,371,371
15,1,7,10,7,27155,358,345
15,1,10,10,4,39579,345,324
6,1,4,10,1,21469,340,303
12,1,4,10,7,31233,339,332
15,4,1,10,10,22014,338,327
6,4,1,10,1,26652,337,338
9,4,1,10,4,24536,335,323
12,4,1,10,7,24165,333,328
18,1,7,10,10,33866,332,316
12,1,1,10,10,19226,332,292
18,1,10,10,7,34035,322,336
18,7,4,10,7,32532,317,225
15,1,4,10,10,26031,317,332
21,10,4,10,7,29256,311,235
12,1,7,10,4,36123,310,319
21,10,7,10,4,36665,307,307
9,1,1,10,7,20547,304,303
15,10,4,10,1,31339,303,290
21,1,10,10,10,35401,300,339
15,7,1,10,7,15442,299,257
12,4,7,10,1,31390,298,271
21,7,7,10,7,31581,294,287
12,10,1,10,1,24585,291,331
24,10,4,10,10,22831,288,254
15,7,4,10,4,32273,287,282
15,10,1,10,4,25327,285,312
27,10,7,10,10,32270,279,268
15,4,7,10,4,31236,278,288
9,1,4,10,4,25812,277,276
6,1,1,10,4,24805,275,317
18,7,7,10,4,30484,274,270
24,7,7,10,10,29785,273,286
15,7,7,10,1,24837,272,250
24,7,10,10,7,27170,268,247
27,10,10,10,7,36600,266,287
18,10,4,10,4,29403,266,269
12,7,4,10,1,27777,265,318
21,10,1,10,10,21965,265,272
18,10,1,10,7,21412,263,276
9,4,4,10,1,30143,262,153
27,7,10,10,10,30440,261,241
18,10,7,10,1,29812,258,300
21,7,4,10,10,17073,256,262
24,10,10,10,4,35100,255,263
18,4,7,10,7,20535,255,223
30,10,10,10,10,33495,249,250
18,4,4,10,10,21414,246,270
24,10,7,10,7,31441,242,265
21,10,10,10,1,29838,242,258
15,4,4,10,7,16086,232,209
18,7,1,10,10,17564,225,231
18,7,10,10,1,28729,224,235
21,4,7,10,10,16562,198,236
21,7,10,10,4,31878,180,237
12,4,4,10,4,7139,160,145
12,7,1,10,4,6510,151,172
21,4,10,10,7,11602,148,82
9,7,1,10,1,8258,140,105
3,1,1,10,1,13153,129,136
24,4,10,10,10,7250,102,100
18,4,10,10,4,15290,101,112
15,4,10,10,1,20160,89,180
